"","lens1","lens2","val","geography","unit","description","indicator"
"9151","1","ST","86.1%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across castes vs share of people not in target group and abouve 15 that have a life insurance across castes.","perc_has_LIC_TGvNTG_Sikkim_caste"
"9152","1","OBC","76.8%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across castes vs share of people not in target group and abouve 15 that have a life insurance across castes.","perc_has_LIC_TGvNTG_Sikkim_caste"
"9153","0","Upper Caste","74.9%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across castes vs share of people not in target group and abouve 15 that have a life insurance across castes.","perc_has_LIC_TGvNTG_Sikkim_caste"
"9154","0","OBC","72.4%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across castes vs share of people not in target group and abouve 15 that have a life insurance across castes.","perc_has_LIC_TGvNTG_Sikkim_caste"
"9155","0","SC","70.6%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across castes vs share of people not in target group and abouve 15 that have a life insurance across castes.","perc_has_LIC_TGvNTG_Sikkim_caste"
"9156","0","ST","69.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across castes vs share of people not in target group and abouve 15 that have a life insurance across castes.","perc_has_LIC_TGvNTG_Sikkim_caste"
"9157","1","Upper Caste","50.3%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across castes vs share of people not in target group and abouve 15 that have a life insurance across castes.","perc_has_LIC_TGvNTG_Sikkim_caste"
"9158","1","M","87.2%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across genders vs share of people not in target group and abouve 15 that have a life insurance across genders.","perc_has_LIC_TGvNTG_Sikkim_gender"
"9159","0","F","73.7%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across genders vs share of people not in target group and abouve 15 that have a life insurance across genders.","perc_has_LIC_TGvNTG_Sikkim_gender"
"9160","0","M","69.2%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across genders vs share of people not in target group and abouve 15 that have a life insurance across genders.","perc_has_LIC_TGvNTG_Sikkim_gender"
"9161","1","F","36.4%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across genders vs share of people not in target group and abouve 15 that have a life insurance across genders.","perc_has_LIC_TGvNTG_Sikkim_gender"
"9162","1","URBAN","93.4%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across regions vs share of people not in target group and abouve 15 that have a life insurance across regions.","perc_has_LIC_TGvNTG_Sikkim_region"
"9163","0","URBAN","73.3%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across regions vs share of people not in target group and abouve 15 that have a life insurance across regions.","perc_has_LIC_TGvNTG_Sikkim_region"
"9164","0","RURAL","70.6%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across regions vs share of people not in target group and abouve 15 that have a life insurance across regions.","perc_has_LIC_TGvNTG_Sikkim_region"
"9165","1","RURAL","68.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across regions vs share of people not in target group and abouve 15 that have a life insurance across regions.","perc_has_LIC_TGvNTG_Sikkim_region"
"9166","1","Muslim","94.6%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across religions vs share of people not in target group and abouve 15 that have a life insurance across religions.","perc_has_LIC_TGvNTG_Sikkim_religion"
"9167","1","Buddhist","93.7%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across religions vs share of people not in target group and abouve 15 that have a life insurance across religions.","perc_has_LIC_TGvNTG_Sikkim_religion"
"9168","1","Christian","78.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across religions vs share of people not in target group and abouve 15 that have a life insurance across religions.","perc_has_LIC_TGvNTG_Sikkim_religion"
"9169","0","Buddhist","77.2%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across religions vs share of people not in target group and abouve 15 that have a life insurance across religions.","perc_has_LIC_TGvNTG_Sikkim_religion"
"9170","1","Hindu","76.6%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across religions vs share of people not in target group and abouve 15 that have a life insurance across religions.","perc_has_LIC_TGvNTG_Sikkim_religion"
"9171","0","Hindu","71.1%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across religions vs share of people not in target group and abouve 15 that have a life insurance across religions.","perc_has_LIC_TGvNTG_Sikkim_religion"
"9172","0","Christian","70.2%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across religions vs share of people not in target group and abouve 15 that have a life insurance across religions.","perc_has_LIC_TGvNTG_Sikkim_religion"
"9173","0","Muslim","66.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a life insurance across religions vs share of people not in target group and abouve 15 that have a life insurance across religions.","perc_has_LIC_TGvNTG_Sikkim_religion"
"9174","1",NA,"86.8%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile vs share of people not in target group and abouve 15 that have a mobile.","perc_has_mobile_TGvNTG_Sikkim"
"9175","0",NA,"65.4%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile vs share of people not in target group and abouve 15 that have a mobile.","perc_has_mobile_TGvNTG_Sikkim"
"9176","1","SC","100.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across castes vs share of people not in target group and abouve 15 that have a mobile across castes.","perc_has_mobile_TGvNTG_Sikkim_caste"
"9177","1","OBC","92.7%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across castes vs share of people not in target group and abouve 15 that have a mobile across castes.","perc_has_mobile_TGvNTG_Sikkim_caste"
"9178","0","SC","91.1%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across castes vs share of people not in target group and abouve 15 that have a mobile across castes.","perc_has_mobile_TGvNTG_Sikkim_caste"
"9179","1","Upper Caste","78.3%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across castes vs share of people not in target group and abouve 15 that have a mobile across castes.","perc_has_mobile_TGvNTG_Sikkim_caste"
"9180","1","ST","74.1%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across castes vs share of people not in target group and abouve 15 that have a mobile across castes.","perc_has_mobile_TGvNTG_Sikkim_caste"
"9181","0","Upper Caste","73.8%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across castes vs share of people not in target group and abouve 15 that have a mobile across castes.","perc_has_mobile_TGvNTG_Sikkim_caste"
"9182","0","OBC","62.4%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across castes vs share of people not in target group and abouve 15 that have a mobile across castes.","perc_has_mobile_TGvNTG_Sikkim_caste"
"9183","0","ST","62.1%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across castes vs share of people not in target group and abouve 15 that have a mobile across castes.","perc_has_mobile_TGvNTG_Sikkim_caste"
"9184","1","M","91.8%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across genders vs share of people not in target group and abouve 15 that have a mobile across genders.","perc_has_mobile_TGvNTG_Sikkim_gender"
"9185","0","M","68.3%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across genders vs share of people not in target group and abouve 15 that have a mobile across genders.","perc_has_mobile_TGvNTG_Sikkim_gender"
"9186","0","F","63.1%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across genders vs share of people not in target group and abouve 15 that have a mobile across genders.","perc_has_mobile_TGvNTG_Sikkim_gender"
"9187","1","F","54.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across genders vs share of people not in target group and abouve 15 that have a mobile across genders.","perc_has_mobile_TGvNTG_Sikkim_gender"
"9188","1","URBAN","100.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across regions vs share of people not in target group and abouve 15 that have a mobile across regions.","perc_has_mobile_TGvNTG_Sikkim_region"
"9189","0","URBAN","92.8%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across regions vs share of people not in target group and abouve 15 that have a mobile across regions.","perc_has_mobile_TGvNTG_Sikkim_region"
"9190","1","RURAL","74.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across regions vs share of people not in target group and abouve 15 that have a mobile across regions.","perc_has_mobile_TGvNTG_Sikkim_region"
"9191","0","RURAL","46.9%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across regions vs share of people not in target group and abouve 15 that have a mobile across regions.","perc_has_mobile_TGvNTG_Sikkim_region"
"9192","1","Muslim","100.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across religions vs share of people not in target group and abouve 15 that have a mobile across religions.","perc_has_mobile_TGvNTG_Sikkim_religion"
"9193","1","Buddhist","93.7%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across religions vs share of people not in target group and abouve 15 that have a mobile across religions.","perc_has_mobile_TGvNTG_Sikkim_religion"
"9194","1","Christian","88.3%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across religions vs share of people not in target group and abouve 15 that have a mobile across religions.","perc_has_mobile_TGvNTG_Sikkim_religion"
"9195","0","Muslim","86.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across religions vs share of people not in target group and abouve 15 that have a mobile across religions.","perc_has_mobile_TGvNTG_Sikkim_religion"
"9196","1","Hindu","83.9%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across religions vs share of people not in target group and abouve 15 that have a mobile across religions.","perc_has_mobile_TGvNTG_Sikkim_religion"
"9197","0","Buddhist","81.8%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across religions vs share of people not in target group and abouve 15 that have a mobile across religions.","perc_has_mobile_TGvNTG_Sikkim_religion"
"9198","0","Christian","66.2%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across religions vs share of people not in target group and abouve 15 that have a mobile across religions.","perc_has_mobile_TGvNTG_Sikkim_religion"
"9199","0","Hindu","61.8%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a mobile across religions vs share of people not in target group and abouve 15 that have a mobile across religions.","perc_has_mobile_TGvNTG_Sikkim_religion"
"9200","0",NA,"21.6%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account vs share of people not in target group and abouve 15 that have a PF account.","perc_has_PF_acc_TGvNTG_Sikkim"
"9201","1",NA,"0.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account vs share of people not in target group and abouve 15 that have a PF account.","perc_has_PF_acc_TGvNTG_Sikkim"
"9202","0","ST","24.1%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across castes vs share of people not in target group and abouve 15 that have a PF account across castes.","perc_has_PF_acc_TGvNTG_Sikkim_caste"
"9203","0","Upper Caste","21.9%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across castes vs share of people not in target group and abouve 15 that have a PF account across castes.","perc_has_PF_acc_TGvNTG_Sikkim_caste"
"9204","0","OBC","21.2%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across castes vs share of people not in target group and abouve 15 that have a PF account across castes.","perc_has_PF_acc_TGvNTG_Sikkim_caste"
"9205","0","SC","16.5%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across castes vs share of people not in target group and abouve 15 that have a PF account across castes.","perc_has_PF_acc_TGvNTG_Sikkim_caste"
"9206","1","OBC","0.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across castes vs share of people not in target group and abouve 15 that have a PF account across castes.","perc_has_PF_acc_TGvNTG_Sikkim_caste"
"9207","1","SC","0.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across castes vs share of people not in target group and abouve 15 that have a PF account across castes.","perc_has_PF_acc_TGvNTG_Sikkim_caste"
"9208","1","ST","0.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across castes vs share of people not in target group and abouve 15 that have a PF account across castes.","perc_has_PF_acc_TGvNTG_Sikkim_caste"
"9209","1","Upper Caste","0.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across castes vs share of people not in target group and abouve 15 that have a PF account across castes.","perc_has_PF_acc_TGvNTG_Sikkim_caste"
"9210","0","M","28.6%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across genders vs share of people not in target group and abouve 15 that have a PF account across genders.","perc_has_PF_acc_TGvNTG_Sikkim_gender"
"9211","0","F","16.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across genders vs share of people not in target group and abouve 15 that have a PF account across genders.","perc_has_PF_acc_TGvNTG_Sikkim_gender"
"9212","1","F","0.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across genders vs share of people not in target group and abouve 15 that have a PF account across genders.","perc_has_PF_acc_TGvNTG_Sikkim_gender"
"9213","1","M","0.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across genders vs share of people not in target group and abouve 15 that have a PF account across genders.","perc_has_PF_acc_TGvNTG_Sikkim_gender"
"9214","0","RURAL","23.7%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across regions vs share of people not in target group and abouve 15 that have a PF account across regions.","perc_has_PF_acc_TGvNTG_Sikkim_region"
"9215","0","URBAN","18.4%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across regions vs share of people not in target group and abouve 15 that have a PF account across regions.","perc_has_PF_acc_TGvNTG_Sikkim_region"
"9216","1","RURAL","0.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across regions vs share of people not in target group and abouve 15 that have a PF account across regions.","perc_has_PF_acc_TGvNTG_Sikkim_region"
"9217","1","URBAN","0.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across regions vs share of people not in target group and abouve 15 that have a PF account across regions.","perc_has_PF_acc_TGvNTG_Sikkim_region"
"9218","0","Buddhist","24.3%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across religions vs share of people not in target group and abouve 15 that have a PF account across religions.","perc_has_PF_acc_TGvNTG_Sikkim_religion"
"9219","0","Christian","23.3%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across religions vs share of people not in target group and abouve 15 that have a PF account across religions.","perc_has_PF_acc_TGvNTG_Sikkim_religion"
"9220","0","Hindu","21.6%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across religions vs share of people not in target group and abouve 15 that have a PF account across religions.","perc_has_PF_acc_TGvNTG_Sikkim_religion"
"9221","0","Muslim","0.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across religions vs share of people not in target group and abouve 15 that have a PF account across religions.","perc_has_PF_acc_TGvNTG_Sikkim_religion"
"9222","1","Buddhist","0.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across religions vs share of people not in target group and abouve 15 that have a PF account across religions.","perc_has_PF_acc_TGvNTG_Sikkim_religion"
"9223","1","Christian","0.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across religions vs share of people not in target group and abouve 15 that have a PF account across religions.","perc_has_PF_acc_TGvNTG_Sikkim_religion"
"9224","1","Hindu","0.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across religions vs share of people not in target group and abouve 15 that have a PF account across religions.","perc_has_PF_acc_TGvNTG_Sikkim_religion"
"9225","1","Muslim","0.0%","Sikkim","Share of People","For  Sikkim , Share of people in target group that have a PF account across religions vs share of people not in target group and abouve 15 that have a PF account across religions.","perc_has_PF_acc_TGvNTG_Sikkim_religion"
"9226","1",NA,"99.9%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account vs share of people not in target group and abouve 15 that have a bank account.","perc_has_bank_acc_TGvNTG_Tamil Nadu"
"9227","0",NA,"99.5%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account vs share of people not in target group and abouve 15 that have a bank account.","perc_has_bank_acc_TGvNTG_Tamil Nadu"
"9228","0","Not Stated","100.0%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Tamil Nadu_caste"
"9229","0","ST","100.0%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Tamil Nadu_caste"
"9230","0","Upper Caste","100.0%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Tamil Nadu_caste"
"9231","1","Intermediate Caste","100.0%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Tamil Nadu_caste"
"9232","1","Not Stated","100.0%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Tamil Nadu_caste"
"9233","1","SC","100.0%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Tamil Nadu_caste"
"9234","1","ST","100.0%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Tamil Nadu_caste"
"9235","1","Upper Caste","100.0%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Tamil Nadu_caste"
"9236","1","OBC","99.9%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Tamil Nadu_caste"
"9237","0","Intermediate Caste","99.8%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Tamil Nadu_caste"
"9238","0","SC","99.5%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Tamil Nadu_caste"
"9239","0","OBC","99.5%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Tamil Nadu_caste"
"9240","1","M","99.9%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across genders vs share of people not in target group and abouve 15 that have a bank account across genders.","perc_has_bank_acc_TGvNTG_Tamil Nadu_gender"
"9241","1","F","99.8%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across genders vs share of people not in target group and abouve 15 that have a bank account across genders.","perc_has_bank_acc_TGvNTG_Tamil Nadu_gender"
"9242","0","F","99.7%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across genders vs share of people not in target group and abouve 15 that have a bank account across genders.","perc_has_bank_acc_TGvNTG_Tamil Nadu_gender"
"9243","0","M","99.3%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across genders vs share of people not in target group and abouve 15 that have a bank account across genders.","perc_has_bank_acc_TGvNTG_Tamil Nadu_gender"
"9244","1","RURAL","100.0%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across regions vs share of people not in target group and abouve 15 that have a bank account across regions.","perc_has_bank_acc_TGvNTG_Tamil Nadu_region"
"9245","1","URBAN","99.9%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across regions vs share of people not in target group and abouve 15 that have a bank account across regions.","perc_has_bank_acc_TGvNTG_Tamil Nadu_region"
"9246","0","URBAN","99.6%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across regions vs share of people not in target group and abouve 15 that have a bank account across regions.","perc_has_bank_acc_TGvNTG_Tamil Nadu_region"
"9247","0","RURAL","99.4%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across regions vs share of people not in target group and abouve 15 that have a bank account across regions.","perc_has_bank_acc_TGvNTG_Tamil Nadu_region"
"9248","0","Muslim","100.0%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across religions vs share of people not in target group and abouve 15 that have a bank account across religions.","perc_has_bank_acc_TGvNTG_Tamil Nadu_religion"
"9249","0","Religion not stated","100.0%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across religions vs share of people not in target group and abouve 15 that have a bank account across religions.","perc_has_bank_acc_TGvNTG_Tamil Nadu_religion"
"9250","0","Sikh","100.0%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across religions vs share of people not in target group and abouve 15 that have a bank account across religions.","perc_has_bank_acc_TGvNTG_Tamil Nadu_religion"
"9251","1","Christian","100.0%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across religions vs share of people not in target group and abouve 15 that have a bank account across religions.","perc_has_bank_acc_TGvNTG_Tamil Nadu_religion"
"9252","1","Muslim","100.0%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across religions vs share of people not in target group and abouve 15 that have a bank account across religions.","perc_has_bank_acc_TGvNTG_Tamil Nadu_religion"
"9253","1","Hindu","99.9%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across religions vs share of people not in target group and abouve 15 that have a bank account across religions.","perc_has_bank_acc_TGvNTG_Tamil Nadu_religion"
"9254","0","Christian","99.7%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across religions vs share of people not in target group and abouve 15 that have a bank account across religions.","perc_has_bank_acc_TGvNTG_Tamil Nadu_religion"
"9255","0","Hindu","99.5%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a bank account across religions vs share of people not in target group and abouve 15 that have a bank account across religions.","perc_has_bank_acc_TGvNTG_Tamil Nadu_religion"
"9256","1",NA,"96.7%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance vs share of people not in target group and abouve 15 that have a health insurance.","perc_has_health_ins_TGvNTG_Tamil Nadu"
"9257","0",NA,"96.1%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance vs share of people not in target group and abouve 15 that have a health insurance.","perc_has_health_ins_TGvNTG_Tamil Nadu"
"9258","1","Upper Caste","100.0%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across castes vs share of people not in target group and abouve 15 that have a health insurance across castes.","perc_has_health_ins_TGvNTG_Tamil Nadu_caste"
"9259","1","Intermediate Caste","99.7%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across castes vs share of people not in target group and abouve 15 that have a health insurance across castes.","perc_has_health_ins_TGvNTG_Tamil Nadu_caste"
"9260","1","Not Stated","98.7%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across castes vs share of people not in target group and abouve 15 that have a health insurance across castes.","perc_has_health_ins_TGvNTG_Tamil Nadu_caste"
"9261","0","Intermediate Caste","98.5%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across castes vs share of people not in target group and abouve 15 that have a health insurance across castes.","perc_has_health_ins_TGvNTG_Tamil Nadu_caste"
"9262","0","ST","97.8%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across castes vs share of people not in target group and abouve 15 that have a health insurance across castes.","perc_has_health_ins_TGvNTG_Tamil Nadu_caste"
"9263","1","SC","97.4%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across castes vs share of people not in target group and abouve 15 that have a health insurance across castes.","perc_has_health_ins_TGvNTG_Tamil Nadu_caste"
"9264","0","Not Stated","97.3%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across castes vs share of people not in target group and abouve 15 that have a health insurance across castes.","perc_has_health_ins_TGvNTG_Tamil Nadu_caste"
"9265","0","SC","96.9%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across castes vs share of people not in target group and abouve 15 that have a health insurance across castes.","perc_has_health_ins_TGvNTG_Tamil Nadu_caste"
"9266","0","Upper Caste","96.6%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across castes vs share of people not in target group and abouve 15 that have a health insurance across castes.","perc_has_health_ins_TGvNTG_Tamil Nadu_caste"
"9267","1","OBC","96.1%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across castes vs share of people not in target group and abouve 15 that have a health insurance across castes.","perc_has_health_ins_TGvNTG_Tamil Nadu_caste"
"9268","0","OBC","95.6%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across castes vs share of people not in target group and abouve 15 that have a health insurance across castes.","perc_has_health_ins_TGvNTG_Tamil Nadu_caste"
"9269","1","ST","92.7%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across castes vs share of people not in target group and abouve 15 that have a health insurance across castes.","perc_has_health_ins_TGvNTG_Tamil Nadu_caste"
"9270","1","M","97.1%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across genders vs share of people not in target group and abouve 15 that have a health insurance across genders.","perc_has_health_ins_TGvNTG_Tamil Nadu_gender"
"9271","0","M","96.4%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across genders vs share of people not in target group and abouve 15 that have a health insurance across genders.","perc_has_health_ins_TGvNTG_Tamil Nadu_gender"
"9272","0","F","95.9%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across genders vs share of people not in target group and abouve 15 that have a health insurance across genders.","perc_has_health_ins_TGvNTG_Tamil Nadu_gender"
"9273","1","F","93.9%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across genders vs share of people not in target group and abouve 15 that have a health insurance across genders.","perc_has_health_ins_TGvNTG_Tamil Nadu_gender"
"9274","1","URBAN","97.6%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across regions vs share of people not in target group and abouve 15 that have a health insurance across regions.","perc_has_health_ins_TGvNTG_Tamil Nadu_region"
"9275","0","URBAN","96.7%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across regions vs share of people not in target group and abouve 15 that have a health insurance across regions.","perc_has_health_ins_TGvNTG_Tamil Nadu_region"
"9276","1","RURAL","95.8%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across regions vs share of people not in target group and abouve 15 that have a health insurance across regions.","perc_has_health_ins_TGvNTG_Tamil Nadu_region"
"9277","0","RURAL","95.6%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across regions vs share of people not in target group and abouve 15 that have a health insurance across regions.","perc_has_health_ins_TGvNTG_Tamil Nadu_region"
"9278","0","Religion not stated","100.0%","Tamil Nadu","Share of People","For  Tamil Nadu , Share of people in target group that have a Health insurance across religions vs share of people not in target group and abouve 15 that have a health insurance across religions.","perc_has_health_ins_TGvNTG_Tamil Nadu_religion"
